Order_ID,Customer_ID,Product_ID,Order_Type,Order_Date,Store_City,Store_Region,Store_Latitude,Store_Longitude,Total_Amount,Order_Month
ORD00082,CUST0053,PROD016,Purchase,2025-02-22,Galway,Connacht,53.2707,-9.0568,56,2025-02
ORD00083,CUST0377,PROD001,Purchase,2024-12-08,Athlone,Leinster,53.4239,-7.9407,28,2024-12
ORD00084,CUST0425,PROD004,Return,2025-04-04,Waterford,Munster,52.2593,-7.1101,-65,2025-04
ORD00085,CUST0335,PROD013,Purchase,2024-10-16,Galway,Connacht,53.2707,-9.0568,76,2024-10
ORD00086,CUST0385,PROD014,Purchase,2024-10-19,Athlone,Leinster,53.4239,-7.9407,53,2024-10
ORD00087,CUST0127,PROD002,Purchase,2024-12-12,Kilkenny,Leinster,52.6541,-7.2448,93,2024-12
ORD00088,CUST0153,PROD018,Purchase,2025-03-14,Dublin,Leinster,53.3498,-6.2603,123,2025-03
ORD00089,CUST0448,PROD018,Purchase,2024-10-21,Galway,Connacht,53.2707,-9.0568,90,2024-10
ORD00090,CUST0017,PROD001,Purchase,2024-12-06,Dublin,Leinster,53.3498,-6.2603,112,2024-12
ORD00091,CUST0231,PROD003,Purchase,2024-12-19,Athlone,Leinster,53.4239,-7.9407,57,2024-12
ORD00092,CUST0135,PROD020,Purchase,2024-12-22,Dublin,Leinster,53.3498,-6.2603,77,2024-12
ORD00093,CUST0179,PROD020,Purchase,2025-01-02,Kilkenny,Leinster,52.6541,-7.2448,90,2025-01
ORD00094,CUST0442,PROD010,Purchase,2024-11-08,Athlone,Leinster,53.4239,-7.9407,69,2024-11
ORD00095,CUST0419,PROD017,Purchase,2024-11-27,Waterford,Munster,52.2593,-7.1101,56,2024-11
ORD00096,CUST0045,PROD018,Purchase,2025-01-22,Galway,Connacht,53.2707,-9.0568,28,2025-01
ORD00097,CUST0225,PROD007,Purchase,2024-12-30,Athlone,Leinster,53.4239,-7.9407,77,2024-12
ORD00098,CUST0444,PROD015,Purchase,2025-01-28,Cork,Munster,51.8985,-8.4756,87,2025-01
ORD00099,CUST0061,PROD011,Purchase,2025-02-20,Athlone,Leinster,53.4239,-7.9407,57,2025-02
ORD00100,CUST0398,PROD012,Purchase,2025-03-13,Dublin,Leinster,53.3498,-6.2603,77,2025-03
ORD00101,CUST0416,PROD002,Purchase,2024-11-14,Galway,Connacht,53.2707,-9.0568,77,2024-11
ORD00102,CUST0122,PROD008,Purchase,2024-11-13,Athlone,Leinster,53.4239,-7.9407,63,2024-11
ORD00103,CUST0108,PROD015,Purchase,2024-11-13,Limerick,Munster,52.6638,-8.6267,98,2024-11
ORD00104,CUST0416,PROD011,Purchase,2024-10-26,Cork,Munster,51.8985,-8.4756,28,2024-10
ORD00105,CUST0378,PROD018,Purchase,2025-02-06,Dublin,Leinster,53.3498,-6.2603,90,2025-02
ORD00106,CUST0302,PROD020,Purchase,2025-03-29,Cork,Munster,51.8985,-8.4756,56,2025-03
ORD00107,CUST0353,PROD020,Purchase,2024-12-24,Limerick,Munster,52.6638,-8.6267,28,2024-12
ORD00108,CUST0180,PROD016,Purchase,2025-02-08,Dublin,Leinster,53.3498,-6.2603,93,2025-02
ORD00109,CUST0441,PROD012,Purchase,2025-02-20,Cork,Munster,51.8985,-8.4756,93,2025-02
ORD00110,CUST0364,PROD015,Purchase,2024-11-26,Cork,Munster,51.8985,-8.4756,111,2024-11
ORD00111,CUST0313,PROD004,Purchase,2025-01-15,Cork,Munster,51.8985,-8.4756,112,2025-01
ORD00112,CUST0324,PROD004,Purchase,2025-04-06,Sligo,Connacht,54.2742,-8.4694,28,2025-04
ORD00113,CUST0220,PROD008,Purchase,2025-02-01,Galway,Connacht,53.2707,-9.0568,123,2025-02
ORD00114,CUST0085,PROD001,Purchase,2024-11-07,Kilkenny,Leinster,52.6541,-7.2448,57,2024-11
ORD00115,CUST0316,PROD011,Purchase,2024-11-25,Dublin,Leinster,53.3498,-6.2603,90,2024-11
ORD00116,CUST0072,PROD012,Purchase,2025-01-08,Limerick,Munster,52.6638,-8.6267,94,2025-01
ORD00117,CUST0402,PROD010,Purchase,2025-02-11,Waterford,Munster,52.2593,-7.1101,63,2025-02
ORD00118,CUST0106,PROD018,Purchase,2024-11-29,Dublin,Leinster,53.3498,-6.2603,57,2024-11
ORD00119,CUST0417,PROD017,Purchase,2025-01-08,Kilkenny,Leinster,52.6541,-7.2448,111,2025-01
ORD00120,CUST0106,PROD012,Purchase,2024-11-29,Dublin,Leinster,53.3498,-6.2603,53,2024-11
ORD00121,CUST0413,PROD004,Purchase,2025-02-17,Cork,Munster,51.8985,-8.4756,109,2025-02
ORD00122,CUST0031,PROD002,Purchase,2024-10-12,Waterford,Munster,52.2593,-7.1101,90,2024-10
ORD00123,CUST0292,PROD006,Purchase,2025-04-03,Galway,Connacht,53.2707,-9.0568,69,2025-04
ORD00124,CUST0180,PROD016,Purchase,2025-03-16,Waterford,Munster,52.2593,-7.1101,112,2025-03
ORD00125,CUST0273,PROD005,Return,2025-01-09,Sligo,Connacht,54.2742,-8.4694,-77,2025-01
ORD00126,CUST0144,PROD014,Purchase,2025-04-03,Waterford,Munster,52.2593,-7.1101,76,2025-04
ORD00127,CUST0306,PROD004,Purchase,2024-12-05,Limerick,Munster,52.6638,-8.6267,90,2024-12
ORD00128,CUST0276,PROD009,Purchase,2025-02-19,Athlone,Leinster,53.4239,-7.9407,53,2025-02
ORD00129,CUST0087,PROD020,Purchase,2025-01-25,Athlone,Leinster,53.4239,-7.9407,65,2025-01
ORD00130,CUST0166,PROD007,Purchase,2024-11-10,Waterford,Munster,52.2593,-7.1101,76,2024-11
ORD00131,CUST0361,PROD007,Purchase,2024-10-25,Galway,Connacht,53.2707,-9.0568,77,2024-10
ORD00132,CUST0150,PROD004,Purchase,2025-01-04,Waterford,Munster,52.2593,-7.1101,28,2025-01
ORD00133,CUST0149,PROD013,Return,2024-12-17,Cork,Munster,51.8985,-8.4756,-112,2024-12
ORD00134,CUST0294,PROD007,Return,2025-02-02,Cork,Munster,51.8985,-8.4756,-69,2025-02
ORD00135,CUST0137,PROD015,Purchase,2024-12-08,Waterford,Munster,52.2593,-7.1101,69,2024-12
ORD00136,CUST0488,PROD007,Return,2025-02-12,Waterford,Munster,52.2593,-7.1101,-76,2025-02
ORD00137,CUST0440,PROD011,Purchase,2025-01-01,Sligo,Connacht,54.2742,-8.4694,63,2025-01
ORD00138,CUST0264,PROD004,Purchase,2025-02-22,Cork,Munster,51.8985,-8.4756,57,2025-02
ORD00139,CUST0461,PROD014,Purchase,2024-11-28,Athlone,Leinster,53.4239,-7.9407,56,2024-11
ORD00140,CUST0348,PROD002,Purchase,2025-01-07,Sligo,Connacht,54.2742,-8.4694,112,2025-01
ORD00141,CUST0418,PROD019,Purchase,2025-03-24,Kilkenny,Leinster,52.6541,-7.2448,65,2025-03
ORD00142,CUST0049,PROD004,Purchase,2024-12-08,Sligo,Connacht,54.2742,-8.4694,65,2024-12
ORD00143,CUST0070,PROD015,Purchase,2024-11-18,Cork,Munster,51.8985,-8.4756,56,2024-11
ORD00144,CUST0493,PROD015,Purchase,2024-12-24,Athlone,Leinster,53.4239,-7.9407,69,2024-12
ORD00145,CUST0385,PROD019,Purchase,2025-03-25,Galway,Connacht,53.2707,-9.0568,98,2025-03
ORD00146,CUST0403,PROD017,Return,2025-01-12,Sligo,Connacht,54.2742,-8.4694,-109,2025-01
ORD00147,CUST0211,PROD005,Purchase,2024-10-31,Cork,Munster,51.8985,-8.4756,56,2024-10
ORD00148,CUST0471,PROD016,Purchase,2024-11-26,Waterford,Munster,52.2593,-7.1101,77,2024-11
ORD00149,CUST0031,PROD001,Purchase,2024-12-24,Athlone,Leinster,53.4239,-7.9407,65,2024-12
ORD00150,CUST0142,PROD017,Purchase,2025-01-30,Galway,Connacht,53.2707,-9.0568,65,2025-01
ORD00151,CUST0444,PROD002,Purchase,2024-12-19,Cork,Munster,51.8985,-8.4756,94,2024-12
ORD00152,CUST0336,PROD018,Purchase,2025-01-30,Cork,Munster,51.8985,-8.4756,56,2025-01
ORD00153,CUST0065,PROD014,Purchase,2024-12-07,Athlone,Leinster,53.4239,-7.9407,123,2024-12
ORD00154,CUST0360,PROD019,Purchase,2025-02-23,Cork,Munster,51.8985,-8.4756,56,2025-02
ORD00155,CUST0444,PROD016,Purchase,2024-12-07,Cork,Munster,51.8985,-8.4756,69,2024-12
ORD00156,CUST0068,PROD017,Purchase,2024-10-15,Cork,Munster,51.8985,-8.4756,77,2024-10
ORD00157,CUST0128,PROD006,Purchase,2025-03-21,Cork,Munster,51.8985,-8.4756,57,2025-03
ORD00158,CUST0075,PROD019,Return,2025-02-15,Dublin,Leinster,53.3498,-6.2603,-112,2025-02
ORD00159,CUST0365,PROD006,Purchase,2024-12-26,Waterford,Munster,52.2593,-7.1101,69,2024-12
ORD00160,CUST0165,PROD005,Purchase,2024-12-03,Limerick,Munster,52.6638,-8.6267,56,2024-12
ORD00161,CUST0425,PROD004,Purchase,2024-10-12,Sligo,Connacht,54.2742,-8.4694,123,2024-10
ORD00162,CUST0127,PROD013,Purchase,2025-01-28,Athlone,Leinster,53.4239,-7.9407,57,2025-01
ORD00163,CUST0390,PROD020,Purchase,2025-03-27,Galway,Connacht,53.2707,-9.0568,90,2025-03
ORD00164,CUST0432,PROD020,Purchase,2025-02-21,Limerick,Munster,52.6638,-8.6267,111,2025-02
ORD00165,CUST0347,PROD011,Purchase,2025-03-11,Kilkenny,Leinster,52.6541,-7.2448,123,2025-03
ORD00166,CUST0202,PROD017,Return,2025-03-04,Cork,Munster,51.8985,-8.4756,-111,2025-03
ORD00167,CUST0251,PROD013,Purchase,2024-10-20,Cork,Munster,51.8985,-8.4756,111,2024-10
ORD00168,CUST0073,PROD014,Purchase,2025-04-05,Sligo,Connacht,54.2742,-8.4694,63,2025-04
ORD00169,CUST0296,PROD020,Purchase,2025-02-05,Waterford,Munster,52.2593,-7.1101,90,2025-02
ORD00170,CUST0324,PROD008,Purchase,2025-03-04,Cork,Munster,51.8985,-8.4756,53,2025-03
ORD00171,CUST0138,PROD009,Return,2025-01-15,Athlone,Leinster,53.4239,-7.9407,-109,2025-01
ORD00172,CUST0322,PROD013,Purchase,2025-03-21,Cork,Munster,51.8985,-8.4756,90,2025-03
ORD00173,CUST0213,PROD011,Purchase,2025-04-04,Athlone,Leinster,53.4239,-7.9407,77,2025-04
ORD00174,CUST0193,PROD010,Purchase,2025-04-04,Kilkenny,Leinster,52.6541,-7.2448,57,2025-04
ORD00175,CUST0232,PROD015,Purchase,2024-12-05,Galway,Connacht,53.2707,-9.0568,111,2024-12
ORD00176,CUST0039,PROD005,Purchase,2025-03-10,Sligo,Connacht,54.2742,-8.4694,76,2025-03
ORD00177,CUST0325,PROD005,Purchase,2025-03-15,Kilkenny,Leinster,52.6541,-7.2448,109,2025-03
ORD00178,CUST0407,PROD014,Purchase,2024-11-24,Kilkenny,Leinster,52.6541,-7.2448,65,2024-11
ORD00179,CUST0451,PROD020,Purchase,2025-02-05,Cork,Munster,51.8985,-8.4756,98,2025-02
ORD00180,CUST0394,PROD017,Purchase,2025-03-15,Kilkenny,Leinster,52.6541,-7.2448,28,2025-03
ORD00181,CUST0048,PROD010,Purchase,2024-12-18,Cork,Munster,51.8985,-8.4756,111,2024-12
ORD00182,CUST0207,PROD018,Purchase,2024-11-22,Galway,Connacht,53.2707,-9.0568,94,2024-11
ORD00183,CUST0264,PROD011,Purchase,2025-02-11,Waterford,Munster,52.2593,-7.1101,56,2025-02
ORD00184,CUST0384,PROD018,Return,2024-11-16,Galway,Connacht,53.2707,-9.0568,-123,2024-11
ORD00185,CUST0143,PROD007,Purchase,2025-02-08,Sligo,Connacht,54.2742,-8.4694,77,2025-02
ORD00186,CUST0356,PROD007,Purchase,2024-11-28,Sligo,Connacht,54.2742,-8.4694,65,2024-11
ORD00187,CUST0480,PROD007,Return,2025-02-19,Dublin,Leinster,53.3498,-6.2603,-90,2025-02
ORD00188,CUST0450,PROD020,Purchase,2025-03-06,Galway,Connacht,53.2707,-9.0568,111,2025-03
ORD00189,CUST0189,PROD010,Purchase,2025-02-27,Waterford,Munster,52.2593,-7.1101,111,2025-02
ORD00190,CUST0233,PROD012,Return,2025-03-09,Cork,Munster,51.8985,-8.4756,-112,2025-03
ORD00191,CUST0487,PROD005,Purchase,2025-02-16,Galway,Connacht,53.2707,-9.0568,28,2025-02
ORD00192,CUST0250,PROD006,Purchase,2025-02-20,Athlone,Leinster,53.4239,-7.9407,98,2025-02
ORD00193,CUST0168,PROD017,Purchase,2025-03-22,Cork,Munster,51.8985,-8.4756,90,2025-03
ORD00194,CUST0298,PROD018,Return,2024-11-06,Cork,Munster,51.8985,-8.4756,-111,2024-11
ORD00195,CUST0002,PROD011,Purchase,2025-02-09,Dublin,Leinster,53.3498,-6.2603,109,2025-02
ORD00196,CUST0445,PROD004,Purchase,2024-10-29,Dublin,Leinster,53.3498,-6.2603,109,2024-10
ORD00197,CUST0397,PROD012,Return,2025-04-04,Limerick,Munster,52.6638,-8.6267,-123,2025-04
ORD00198,CUST0434,PROD018,Purchase,2025-02-09,Cork,Munster,51.8985,-8.4756,76,2025-02
ORD00199,CUST0376,PROD016,Purchase,2025-02-13,Cork,Munster,51.8985,-8.4756,87,2025-02
ORD00200,CUST0048,PROD019,Purchase,2024-10-18,Sligo,Connacht,54.2742,-8.4694,109,2024-10
ORD00201,CUST0375,PROD019,Purchase,2024-12-09,Athlone,Leinster,53.4239,-7.9407,123,2024-12
ORD00202,CUST0498,PROD014,Return,2025-03-13,Limerick,Munster,52.6638,-8.6267,-56,2025-03
ORD00203,CUST0235,PROD018,Purchase,2025-01-04,Cork,Munster,51.8985,-8.4756,111,2025-01
ORD00204,CUST0326,PROD010,Return,2024-10-17,Cork,Munster,51.8985,-8.4756,-90,2024-10
ORD00205,CUST0341,PROD014,Purchase,2025-01-31,Dublin,Leinster,53.3498,-6.2603,77,2025-01
ORD00206,CUST0358,PROD001,Return,2024-12-20,Athlone,Leinster,53.4239,-7.9407,-65,2024-12
ORD00207,CUST0184,PROD017,Purchase,2025-03-02,Cork,Munster,51.8985,-8.4756,56,2025-03
ORD00208,CUST0436,PROD004,Purchase,2024-11-05,Waterford,Munster,52.2593,-7.1101,76,2024-11
ORD00209,CUST0033,PROD001,Return,2024-10-28,Galway,Connacht,53.2707,-9.0568,-65,2024-10
ORD00210,CUST0408,PROD013,Purchase,2025-04-05,Dublin,Leinster,53.3498,-6.2603,123,2025-04
ORD00211,CUST0274,PROD005,Purchase,2024-12-07,Waterford,Munster,52.2593,-7.1101,93,2024-12
ORD00212,CUST0204,PROD002,Purchase,2024-12-13,Cork,Munster,51.8985,-8.4756,28,2024-12
ORD00213,CUST0112,PROD002,Purchase,2025-03-05,Athlone,Leinster,53.4239,-7.9407,57,2025-03
ORD00214,CUST0496,PROD007,Return,2024-12-30,Cork,Munster,51.8985,-8.4756,-77,2024-12
ORD00215,CUST0220,PROD009,Purchase,2024-11-14,Waterford,Munster,52.2593,-7.1101,28,2024-11
ORD00216,CUST0423,PROD006,Purchase,2024-11-18,Dublin,Leinster,53.3498,-6.2603,109,2024-11
ORD00217,CUST0109,PROD010,Purchase,2024-11-05,Galway,Connacht,53.2707,-9.0568,77,2024-11
ORD00218,CUST0254,PROD009,Return,2025-03-12,Cork,Munster,51.8985,-8.4756,-87,2025-03
ORD00219,CUST0138,PROD005,Purchase,2025-01-23,Galway,Connacht,53.2707,-9.0568,65,2025-01
ORD00220,CUST0166,PROD002,Purchase,2025-03-30,Galway,Connacht,53.2707,-9.0568,56,2025-03
ORD00221,CUST0425,PROD010,Purchase,2024-12-21,Galway,Connacht,53.2707,-9.0568,69,2024-12
ORD00222,CUST0146,PROD007,Purchase,2025-01-22,Kilkenny,Leinster,52.6541,-7.2448,77,2025-01
ORD00223,CUST0173,PROD018,Return,2025-01-16,Cork,Munster,51.8985,-8.4756,-63,2025-01
ORD00224,CUST0281,PROD002,Purchase,2025-04-06,Waterford,Munster,52.2593,-7.1101,76,2025-04
ORD00225,CUST0296,PROD012,Purchase,2024-12-02,Cork,Munster,51.8985,-8.4756,93,2024-12
ORD00226,CUST0067,PROD015,Purchase,2025-03-21,Cork,Munster,51.8985,-8.4756,65,2025-03
ORD00227,CUST0290,PROD004,Purchase,2024-11-11,Limerick,Munster,52.6638,-8.6267,111,2024-11
ORD00228,CUST0437,PROD020,Return,2024-11-29,Athlone,Leinster,53.4239,-7.9407,-53,2024-11
ORD00229,CUST0249,PROD018,Purchase,2025-04-06,Cork,Munster,51.8985,-8.4756,90,2025-04
ORD00230,CUST0404,PROD008,Purchase,2025-03-20,Sligo,Connacht,54.2742,-8.4694,28,2025-03
ORD00231,CUST0176,PROD018,Purchase,2025-01-12,Dublin,Leinster,53.3498,-6.2603,28,2025-01
ORD00232,CUST0458,PROD013,Purchase,2025-03-16,Waterford,Munster,52.2593,-7.1101,77,2025-03
ORD00233,CUST0350,PROD008,Purchase,2024-12-07,Limerick,Munster,52.6638,-8.6267,109,2024-12
ORD00234,CUST0391,PROD017,Purchase,2025-03-04,Athlone,Leinster,53.4239,-7.9407,53,2025-03
ORD00235,CUST0025,PROD010,Purchase,2025-03-29,Cork,Munster,51.8985,-8.4756,53,2025-03
ORD00236,CUST0024,PROD002,Purchase,2024-12-15,Athlone,Leinster,53.4239,-7.9407,109,2024-12
ORD00237,CUST0051,PROD013,Purchase,2025-03-16,Waterford,Munster,52.2593,-7.1101,123,2025-03
ORD00238,CUST0321,PROD013,Purchase,2024-11-02,Galway,Connacht,53.2707,-9.0568,63,2024-11
ORD00239,CUST0402,PROD014,Purchase,2025-01-09,Galway,Connacht,53.2707,-9.0568,93,2025-01
ORD00240,CUST0429,PROD011,Purchase,2024-10-25,Cork,Munster,51.8985,-8.4756,57,2024-10
ORD00241,CUST0236,PROD018,Purchase,2024-11-07,Waterford,Munster,52.2593,-7.1101,65,2024-11
ORD00242,CUST0009,PROD002,Purchase,2025-03-06,Cork,Munster,51.8985,-8.4756,76,2025-03
ORD00243,CUST0064,PROD001,Purchase,2024-11-23,Waterford,Munster,52.2593,-7.1101,109,2024-11
ORD00244,CUST0476,PROD009,Return,2025-03-27,Sligo,Connacht,54.2742,-8.4694,-111,2025-03
ORD00245,CUST0440,PROD007,Purchase,2025-02-19,Waterford,Munster,52.2593,-7.1101,93,2025-02
ORD00246,CUST0081,PROD020,Purchase,2025-02-28,Limerick,Munster,52.6638,-8.6267,87,2025-02
